ItemType,Domain,CreatedAt,ItemID,Recommendable,URL,Title,category,text,keywords,categories
Document,418,26/08/2001 06:57,97592046,FALSE,http://www.ksta.de/region/toleranz-training-nach-noten 15189102 14563704.html,Toleranz-Training nach Noten,2879993,Die Dezibelzahl war ohrenbetäubend  die Botschaft eindeutig: Um Spaß  Musik und darum  miteinander etwas Großes auf die Beine zu stellen  ging es beim Lei-F-Style-Open-Air  das am...,,0#34#2879993
Document,418,27/08/2001 06:34,259299555,FALSE,http://www.ksta.de/politik/die-volksfront-fuer-die-befreiung-palaestinas 15187246 14562948.html,Die Volksfront für die Befreiung Palästinas,0,Die Volksfront für die Befreiung Palästinas (PFLP) wurde 1967 von gegründet. Sie ist marxistisch-leninistisch orientiert und lehnt den Friedensprozess mit Israel entschieden ab...,,0#20
Document,418,04/10/2001 12:47,133125713,FALSE,http://www.ksta.de/sport/niklas-schneider-wusste-zu-ueberzeugen 15189364 14546012.html,Niklas Schneider wusste zu überzeugen,2881177,Spannende Gefechte beim 13. Internationaen Tolbiac-Florett-Turnier und bei den Rheinischen Senioren-Einzellandesmeisterschaften in Zülpich.,,0#2881177#2
Document,418,25/10/2001 04:10,101548478,FALSE,http://www.ksta.de/archiv/prozess-um-zugunglueck-von-bruehl-eingestellt 16592382 14535864.html,Prozess um Zugunglück von Brühl eingestellt,2879385,Das spektakuläre Zugunglück von Brühl mit neun Toten und 149 Verletzten bleibt strafrechtlich ungesühnt. Das Kölner Landgericht stellte am Donnerstag nach knapp fünfmonatigem Prozess das Verfahren wegen geringer Schuld der vier Angeklagten ein.,,2879385#0#41
Document,418,03/11/2001 06:27,257971275,FALSE,http://www.ksta.de/archiv/mehreinsatz-der-linie-19-geht-zu-lasten-anderer-bereiche 16592382 14531652.html?originalReferrer=https://www.google.de,Mehreinsatz der Linie 19 geht zu Lasten anderer Bereiche,0,Als ich vor einigen Jahren aus meiner Heimatstadt Köln nach Hermülheim zog  war ich von der Idee einer direkten Straßenbahnverbindung in die Kölner City sehr angetan.,,0
Document,418,15/11/2001 05:54,89102479,FALSE,http://www.ksta.de/koeln/--132wir-wollen-einen-kleinen-frank--148 15187530 14525010.html,&#132Wir wollen einen kleinen Frank&#148,2875514,Frank Fußbroich wird seine Freundin Claudia Anfang des Jahres heiraten - auf dem Standesamt im Historischen Rathaus.,,0#2875514#31
Document,418,20/12/2001 06:16,263283273,FALSE,http://www.ksta.de/region/reptilien-im-stich-gelassen 15189102 14506644.html,Reptilien im Stich gelassen,0,Das Terrarium Tropical Fauna wurde vom Kreisveterinäramt und dem Ordnungsamt geräumt.,,0#34
Document,418,07/01/2002 05:17,259474094,FALSE,http://www.ksta.de/region/-traumhafte-kennzahlen- 15189102 14500426.html,Traumhafte Kennzahlen,0,In Sachen Standortqualität liegt die Stadt Bonn im bundesweiten Vergleich auf einem Spitzenplatz. Dies belegt eine neuerliche Untersuchung.,,0#34
Document,418,13/01/2002 05:43,128335590,FALSE,http://www.ksta.de/kultur/--132ich-koennte-nicht-anders-leben--148 15189520 14497408.html?sa=X&ved=0ahUKEwiNkrOVmfXKAhXGKJoKHTmZDGkQ_h0IKzAH,&#132Ich könnte nicht anders leben&#148,2880191,Theater gehört zu ihrem Leben. Aber auch die Familie. Ingrid Andree spricht über sich und die Welt.,,0#2880191
Document,418,27/03/2002 06:36,134189357,FALSE,http://www.ksta.de/koeln/buehne-frei-fuer-koelschen-kluengel 15187530 14456648.html,Bühne frei für kölschen Klüngel,2875514,Kölner Skandale waren schon immer die Süffigsten. Jetzt befasst sich ein Theaterstück mit der legendären Herstatt-Pleite: Sechs junge Bankmitarbeiter - die so genannten Goldjungs - hatten Anfang der Mitte der 70-er Jahre mit ungedeckten Milliardenbeträgen,,0#2875514#31
Document,418,22/05/2002 12:27,124624171,FALSE,http://www.ksta.de/archiv/schoepferin-gewaltiger--nanas----niki-de-saint-phalle-gestorben 16592382 14428498.html,"Schöpferin gewaltiger ""Nanas"" - Niki de Saint Phalle gestorben",2879385,"Unauffälliges hat die Künstlerin Niki de Saint Phalle  die jetzt nach schwerer Krankheit im Alter von 71 Jahren in San Diego in den USA gestorben ist  nie geschaffen. Ihre Monster- Frauen  die ""Nanas""  sind überdimensionierte  ebenso bunte wie üppig verlo",,2879385#0#41
